category,sub-category,crimeaditionalinfo
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,"She sent me the hi message first and then she video called me and start removing her clothes I told her many times but she also forced me to remove mine but I did not After this she made a video of mine and start blackmailing me that she will sent it to my family members and neighbours and instead of this she asked me for money that is  rs to delete this video but I refused Kindly help me I am in the big issue 
Thanking you"
Online and Social Media Related Crime,Cheating by Impersonation,This profile is taking online orders pretending to be a boutique shop in Surat We have ordered some dresses from him and transferred him  rs screenshot He blocked us from everywhere and did not respond to us anywhere However the profile is still active and he does conversation if there is any new number
Any Other Cyber Crime,Other,On th dec We required partition work at home and called to a carpenter with pH number found on Google on th The person called ghouse came to my home and he sent his aadhar Pan proof to my phone and asked me for  in advance  I believed and paid  to him Till then he is not responding On  he said he will come to home to finish work but when I called him he said his worker in hospital On  he said his worker took money and gone away I continuosly calling  him and he stopped responding to me I called him on Jan  and he lifted the call and I said I will inform police  He said what will police do and I will not pay  Kindly get my money back  And please punish this fraudster
Cyber Attack/ Dependent Crimes,Hacking/Defacement,"The issue actually started when I got this email, which at first glance seemed like spam. I usually ignore such things, but for some reason, I opened it this time. Afterward, my phone started freezing, and it wasn’t normal. I thought it was a technical glitch, but now I’m not so sure. Looking back, maybe I should have paid more attention to the little details, but now it's too late. My accounts are compromised. The more I tried to fix it, the more problems came up. My bank account was recived, and then I got locked out of everything. I feel so helpless, like there’s nothing I can do to fix this. No matter how many times I change my password, it’s like someone’s always one step ahead. Even my laptop isn’t working right anymore. It’s so stange how everything just fell apart after that one email."
Online Financial Fraud,UPI Related Frauds,Two transaction has been done through online froud  within seven minutes   The complaint has been reported to govt toll free no  and complaint acknowledgment number is  and complaint letter has been uploaded
Any Other Cyber Crime,Other,"Person called me and gave his adhar card via whatsapp and told to me that i will provide you a job in IT in Amazon and looted me RsI am having all chats in whatsapp and almost  recording of my calls conversation in which he is clearly telling me that he will make clear of my all rounds of interview and i will be having a Offer letter in  working days but eventually he looted meHe also gave me his institute name which is in Hyderabad which i am listing below
 SAP FICO 

LIG th Rd Dharma Reddy Colony Phase I Kukatpally Hyderabad Telangana  httpsgcokgsDMHVb
Kindly help me out in this fraud currently he is not picking my calls and not answering to the whatsapp messages even though he is using that numberI think he has given me his wrong institute name but he is currently using the number stated in AdharI am having all the statements of my transaction was being done by Google pay"
Any Other Cyber Crime,Other,onstream loan app asking to pay more money  harrasing and sending wrong messages to my contacts
Online and Social Media Related Crime,FakeImpersonating Profile,"Dear sir 
           I am ganeswar Nayak affected by cyber fraud in  night time because this time a person clone my teacher Facebook id and send friend requestafter chatting with me and tell me ganeswar I am now medicali urgently need tomorrow return your moneythen i send money after contact my teacher so i know this person a fraud manhe send a phone pay noafter I call this person but not recive my phonei want to this phone pay no is sufficiently prove take this personso kindly request action this matter"
Online Financial Fraud,UPI Related Frauds,jCB masin ke nam PAR dhokhadhari kiya gaya
Any Other Cyber Crime,Other,Someone is calling me that my colleague his name is jeevan singh is not paying loan amount so I will have to pay his amount or they will file case Even I have not talked my colleague from a long time And I do not know anything about him
Any Other Cyber Crime,Other,i did not borrow any loan from an app and still some app has got my data and they are sending whatsapp to my contactPlz help me they are sending msg to my contact number without any reason plz try to slove my problem
Online Financial Fraud,UPI Related Frauds,This is a total scam The contact person Anurag Kanishk with mobile no promises to send a list of  maids and then send documents with all the rulesNext thing he asks for  as advance and then blocks you I kept on trying him and he refused to answer and blocked my calls
Online Financial Fraud,UPI Related Frauds,There is a business page on Fb name Mahi collection by Manisha I purchased a dress and paid amount  on th Feb but I have not receive any parcel She did not reply me properly and then blocked me i have all the screen shots of our conversation on whatsapp
Online Financial Fraud,UPI Related Frauds,Investment fraud
RapeGang Rape RGRSexually Abusive Content,RapeGang Rape RGRSexually Abusive Content,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife  a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,UPI Related Frauds,I have received a call from  at  PM on  He told me he will send some money to me and ask my phone pe no I suddenly understand about the phising and told then dont dare to call me backthe man started abusing meWe need to take action in this regardRecently one of my relative bear a loss of  Rs From this fake callers
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"Good Evening Sir
I am a sincere citizen of our city someone I do not know hack my data and now blackmailing that if I did not pay him thru will misuse my family photos and send to all my contacts Ihumble request you to please help me"
Online Financial Fraud,UPI Related Frauds,India al credit bank se maine loan ke liye apply kiya tha joh ki google play store par available hai iss company ne loan dene ke naam par mere saath money fraud kiya hai joh ki rs  ka hai aur baad mein bhi yeh k ki demand aur kar rahe the but maine woh nahi pay kiye aise inhone bahut fraud kiye hai PLease take strict action on this company
Online Financial Fraud,Internet Banking Related Fraud,FAKE CUSTOMER CARE NUMBER AND ANYDESK APP Victim searched in google for Google pay customer care number  suspect like as a customer care officer  Suspect told to victim installed anydesk app  victim entered Debit card details and OTP  victim deceived amount  victim got cheated Suspect no  Amount lostRs
Sexually Obscene material,Sexually Obscene material,"Someone post my nude on Instagram and when I asked about then he told that anyone share my picture for post and when I asked about who is behind this he told me that he sind not remember anything
Please help me this is very serious for me"
Online Financial Fraud,UPI Related Frauds,"Online Frauds   Advertisement Portal Fraud  eCommerce platform  Magic Bricks
victim have flat for rent  so she posted it as advertisement on magic brickscom some unknown person call to victim and said will take as a rent and also said first you send me  rupees to my account double amount will return deposit to your account so victim believed that and sent total  rupees from her account after that they are not responding to victim and cheated the victim

"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Financial Fraud
Sexually Explicit Act,Sexually Explicit Act,The particular user is making sexual videos about me and is demanding money from meIf I fail to pay him then he is blackmailing me that he will spread the videosSir please look in to the Matter and help meI Have attached you all the proofs and his contact numbers too
Online Financial Fraud,UPI Related Frauds,"FROUD PERSON CALL ME AS RELATIVE AND SAID NEED MONEY I AM NOT UNDERSTAND THAT I WILL BE CHEAT BY PERSON THAN MY Phone pay app qr code scan PLZ SIR FIND OUT THAT FROUD PERSON
Plz punish fraud person"
Online and Social Media Related Crime,FakeImpersonating Profile,Sir someone has made a fake account of my on instagram because of which me and my family are facing problems In this ID many such pictures of me have been posted due to which me and my family are facing problems Whoever has created this fake ID should be punished severely So that he cannot harass anyone like this again I request you sir please close this account
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,I received call from  and caller will introducing as a RBL bank representative and offering me to updating my credit card     and the annual charges which is charged from bank to me is waived off from bank after updating card and all of sudden I got massages and emails from bank regarding updating of settings of card 
RapeGang Rape RGRSexually Abusive Content,RapeGang Rape RGRSexually Abusive Content,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife  a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,i have taken loan from live cashdue to covid oandemic i m unable to pay the loanthey r continuously blckmaling me with different no and harrasing me i have complained before also my family and relative
Online Financial Fraud,Internet Banking Related Fraud,Financial Fraud 
Online Financial Fraud,UPI Related Frauds,"My money of Rs  has been stolen through UPI ID Please help in recovering the amount at the earliest as it is a big gang looting people everyday
I would appreciate quick help from the thief mentioned all the details above Please take action against this fraud as they are doing with everyone I will be highly thankful if i get back money and extra information required do let me know
I am providing the cell numbers of thieves    They are based out of Mumbai
The destination account is in SBI Mumbai
Account  
IFSC  SBIN"
Online and Social Media Related Crime,Cheating by Impersonation,"Someone created fake profile impersonating me and asking for money using my name from my friends and relatives The scammer sent many friend requests once accepted he asked for whatsapp number and there asked for money eg k k k etc showing urgent need

One of my friend having intentions of helping actually got into his trap and sent  to the scammer using back details"
Online Financial Fraud,UPI Related Frauds,"Online Frauds   Relationship Fraud   Social Media  FacebokWhatsappInstagram
victim got a call from some unknown number and said that they will send call girls and asked the victim to send some money and victim sent Rs  and was been frauded 
"
Cyber Attack/ Dependent Crimes,Denial of Service (DoS)/Distributed Denial of Service (DDOS) attacks,"The issue actually started when I got this email, which at first glance seemed like spam. I usually ignore such things, but for some reason, I opened it this time. Afterward, my phone started freezing, and it wasn’t normal. I thought it was a technical glitch, but now I’m not so sure. It’s hard to explain, but it felt like someone was inside my account, doing things while I wasn’t even online. The more I tried to fix it, the more problems came up. My social media was recived, and then I got locked out of everything. The worst part is, I don’t even know who to trust anymore. Friends, family, everyone’s acting strange. It’s affecting my relationships and my mental health. Even my phone isn’t working right anymore. It’s so stange how everything just fell apart after that one email."
RapeGang Rape RGRSexually Abusive Content,RapeGang Rape RGRSexually Abusive Content,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife  a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI FRAUD  PHONE PE  
BANK  	STATE BANK OF INDIA 
			
ACCOUNT NUMBER   

TOTAL AMOUNT  	
PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online Financial Fraud,UPI Related Frauds,"A Person called me on my device with phone number 

And told me he is going to deposit  rupees  he gave reference of my father and give correct detail
then he said he did wrong payment in my account of  so he told me to deposit  rupees 
i did that transaction then he told me he is not receiving this money do a transaction again
i said that i also not receive any money
than he said transaction is in progress 
this is going on 
and my amount is deducted 

I attached a word document in that all transaction and  chat screenshot is there

Please look into it as soon as possible

i need my money back"
Online Financial Fraud,Internet Banking Related Fraud,"I Have received message in my mobile about my account blocking and
update pan card for KYC verify   so I Have clicked on given link along
with my internet login ID and password while proccessing came OTP
then I Have submitted that on webpage  now I am shocked Rs  and
Rs  Debited from my account I Understood lately its fraud and
UNAUTHORISED TRANSACTION 

I Have received that pancard KYC message from  and
displaying one website name in that message  
httpsninjaformsherokuappcom 

this transaction Done at  pm  on 

please As soon as possible solve this issue and refund my amount very soon

totally two times amounts Debited 

Rs   IHQ
Rs  DHAN HIND UTILITY PRIVATE


I Have sending screenshots please enquiry immediately

NAME  RAMESH MANTHANI
MOBILE  
MY ACC NUMBERS   AND "
Any Other Cyber Crime,Other,"we have been cheated by clidel services for trademark registration we have the details of mail of our conversation where clidel team told me that they will provide us govt receipt again registration of trademark with in  hours of after payment being made to clidal from our side 

But today approximately  months is passed nothing happen we have been trying to contact via call msg mail  these people are not responding 

please help me and the other people that might be getting cheated by these so called online froudsters we have attached screen shot of our mail  our payment receipt made to clidel  voice recording mails whats up are also available"
Online Financial Fraud,Internet Banking Related Fraud,On Matrimony Site that persons contacted me and ask me to pay money for parcel which has gifts in it  He said he was from UK and coming to India for marriages and assure me that he will return all my money
Online Financial Fraud,Fraud CallVishing,They have illegally occupied my phone book and calling everyone and harrasing They not only called the parents but are also taking any number from my phone book and asking them to make payment and they are openly accepting doing this
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI PAYTM 
 BANK   	State Bank of India	
 ACCOUNT NUMBER   
TOTAL AMOUNT  
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION

"
Online Financial Fraud,UPI Related Frauds,Financial fraud 
Online Financial Fraud,Internet Banking Related Fraud,CALLER INFORMED SHE LOST  THOUGH OTP
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,Me and my sister are being blackmailed with an Instagram account which is made in my name He edits my and my sister photos in a very dirty way and posts them on Instagram If something is wrong then I will commit suicide I request the staff to process it soon
Online Financial Fraud,EWallet Related Fraud,"district jaipur  ps jhotwara  add phul nager 
Name  Puspendra Singh Shekhawat 
Pincode   
furad by phone pe 
Transaction id 
    T  UTR      
suchnkarta ke phone pe no    
suchnkarta ke ac no    bank of baroda 
frauder ke phone no    
DATE  TIME  PM 
 pssgmailcom  
Total Fraud Amount   
"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"Hello All 

My name is Rakesh Ammula i am having your credit card nd my mobile number is 
Infact I am not using credit card since last  days but the amount was debiting from my card and I ma not going to be pay the amount also which around  rupees and I am going to be legal complaint on Slice Look forward to hearing from you soon 

Apprecite your quick response  

Regards 
Rakesh"
Online and Social Media Related Crime,Online Job Fraud,"Respected Sir

I got a Home base job without investment message on my WhatsApp no   on  Feb  at  pmI was doing my office work as per the daily routine UnknowinglyI got tempted by their message and filled their form and provided my basic details like Full name Email id and aadhar card details immediately without much knowing their backgroundThey asked me to read all points and requested me for the registration process smoothlyAfter the registrationthey sent me a Login id and password for their dashboard and asked me to start my work immediatelyI started the typing work and worked for nearly hrs according to their instructions and filled  forms on the first daysimilarly on the second dayI filled three forms and within sometime the dashboard crashedeven I did not get anything why It was crashed After that I got a call from the No  named Neha Agarwal warning me that I have to pay Rs to resume or activate the dashboard and if I fail to do sothen she will issue a legal notice on behalf of his client

The company is asking for Server maintenance charges which costs nearly RS and legal expenses for terminating the issued agreement costs Rs

I belong to a middleclass family and could not understand their working tactics therefore I would request the authorities sincerely to look in this case as they are warning me through multiple contact no and WhatsApp messages

Regards and Thanks
Rahul Ahirwar"
Online and Social Media Related Crime,Profile Hacking Identity Theft,                                   
RapeGang Rape RGRSexually Abusive Content,RapeGang Rape RGRSexually Abusive Content,These accounts are regularly posting inappropriate content to target a group of femaleskindly take action and banned this account there are so many account like this which regularly harash females online Hope you banned this account as soon as possible
Online and Social Media Related Crime,FakeImpersonating Profile,"I above ordered a product from Instagram site and paid the amount to munaclosetcollection on Jan rd  but after some days they blocked me Like me they have cheated so many people and collected money
Now they using new account munaboutique i have attached the proof Kindly take respective measures they are still cheating so many people
Kindly block their both instagram and Facebook site"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI Fraud PHONEPE		 
BANK   Punjab National Bank including Oriental Bank of Commerce and United Bank of India	
ACCOUNT NUMBER   
TOTAL AMOUNT   	
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online Financial Fraud,Fraud CallVishing,a fake call from  received with duplicate close reletive name and demand money of  for operation of closer relative  a request has been sent via mobile no  on phone pay app screen shot attached
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"Identity theft   Vishing Call Fraud  CreditDebit Cards Fraud  KYC updation
 victimn ki paytm kyc update ani oka  message vaste andulo unna number ki call chesaru then vallu update chesta ani cheppi  any desk app download chesukomani cheppi  details anni tesukunner then victimn ac lo nuchi amount cut ipoindhi"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"I am living separately from my Husband from Sept  due to his abusive behavior I have filed a case AFIR accordingly but He is still trying to use My Debit Card for Online transactions I have got OTP for one of his online transactions and attaching the same as evidence
Please help me as per the guidelines"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"WHEN I RECEIVED A CALL ON MY OTHER NO SAME  TIME MY REGISTERD NO RECEIVED A DEBIT MASSAGE  THAT TIME I BLOCK MY ACCOUNT BY ONLINE COMPLAINT ON BANK HELPLINE  WRITEN APPLICATION IN ICICI BANK NEEM KA THANA BRANCH
TWO TRANSCATION    HAPPENED TOTAL SUM  RS
PLEASE DO NEEDFUL TO RECOVERE MY MONEY  STOP CRIME LIKE THIS
THANKING YOU
VISHNU DATT SHARMA"
Online Financial Fraud,UPI Related Frauds,I have not taken any money but there is a threat to pay and i have paid please help to sort it He threaten that he will send legal notice from high court for the money that i have not taken He is also threatening a message that he will send messages to friends and relatives I dont have money now please help to get out of this people and help me to get my money back
Online Financial Fraud,UPI Related Frauds,"Dear sir i have see a instagram account arunsingh while using instagram and follow him in its bio and story i see many transaction of phonepe google pay and paytm that he gives good return by trading on  crypto market and gives customer good return he messege after follwing him and ask me to invest in crypto I agree to invest and ask to minimum amount to invest that was   and i pay it on his phonepe number  and banking name imtiaz mullic after paying k he demanded for  for registration in app for i send money and send screenshot also and then ask for  for  purchase a plan I nagociate with him send him  after sending k he demaned for k also after that i  paid him  and  next day he said that he will return good profit and show me some screen shot of payment so i do this sir  my money has gone but he is doing with many user to showing screenshot of payment and he also share a id mizan that for screenshot of chating sir it is a big scammer and frauder
thank you 
please keep my name secreate
thank you"
Online Financial Fraud,UPI Related Frauds,FINANCIAL FRAUD 
Online and Social Media Related Crime,FakeImpersonating Profile,Someone created a fake account by misusing my photo in instagram This is the rd time someone is doing Whoever is created the name of id is different name and photo is also different but my face is attached in that edited photo of Instagram profile The fake id is sending request to my friends and family and trying to defaming my identity Also whoever the account holder is texting everyone by misusing my photos
Online Financial Fraud,EWallet Related Fraud,"The caller mobile number  and before and after the transaction was doneHe understood I had blocked an reported his number The app used was sms forwarding appDidnt realise it could read my messagesbefore i understood he had engaged me on callmultiple otps came before i could cut or block the sms i rcvd the transaction of  on accoun tof rent was made 
transaction sms and app number "
Any Other Cyber Crime,Other,I have received a randam call and the person on call ask me I have won and kbc and them he ask me to some money to reeedm my awards maniputed me I Am poor with less knowledge of such Activities ipaid amount  and lost my hard money kindly look my complaint and the needful
Sexually Obscene material,Sexually Obscene material,They have seen our engagement video on youtube and started targeting us by collecting information about our family which is available online they got hold of one phone number which my father in law uses and started sending him emails with obscene content and blackmailing him to pay  bitcoins to the mentioned bitcoin address they are threatening the family that they will try to tarnish the family image by posting obscene content by morphing pictures attaching our phone number to it and harass us
Online Financial Fraud,UPI Related Frauds, DAYS BEFORE MY MONEY IS DEBITED AUTOMATICALLY SO I CALLED A NUMBER WHICH IS NAMED ON TRUECALLER SBI CUSTOMER CARE NUMBER AND TOLD ME TO PUT MY UPI PIN ON PHONEPE TO RECEIVE MY ALREADY DEBITED MONEY I ENTERED MY UPI PIN ON MY PHONEPE APP THEN MY MONEY WAS DEBITED ONE BY ONE TRANSACTION IN  PARTS
Online and Social Media Related Crime,Profile Hacking Identity Theft,"My Facebook id was hacked I came to know about the incident through my friend on  Jan  I m unable to open my account all my password were not working I report the account but I did not work
The name of the person who hacked my id is Anil Kumar as shown on status
Kindly look into the matter"
Cyber Attack/ Dependent Crimes,SQL Injection,"I never imagined something like this could happen to me, especially since I'm so cautious. But then I started noticing that my online activity felt different, slower even. I can't even describe it well because everything seemed normal, except for the fact that I was constantly getting logged out of my accounts. It’s hard to explain, but it felt like someone was inside my account, doing things while I wasn’t even online. The more I tried to fix it, the more problems came up. My bank account was frezzing, and then I got locked out of everything. I don’t think I’ve ever felt this violated before. My privacy is completely shattered, and I can’t do anything to make it stop. Even my tablet isn’t working right anymore. It’s so stange how everything just fell apart after that one email."
Online Financial Fraud,Fraud CallVishing,"Respected Sir
I have taken the loan from BigShark online application the amount I suppose to pay 
Today they made the calls to relatives and other friends and they threaten Name is Arundhati Rao  Kindly take the legal action against them"
Online Financial Fraud,Internet Banking Related Fraud," on   the day i  have received link   and open 
 asked  pan card update so  i was oopen  otp ask again otp pin asked  thenput msg come  pass word and useri d incorrect  sidly take by money in our account  rs kindly take action immedialtly sir please"
Online Financial Fraud,Internet Banking Related Fraud,"Citizen Details 
Name  Jyoti menna
Ps  Ramnagariya 
Dist  Jaipur
Email Id  jyotibhaithlawatgmailcom
Pin Code  
Alt No   
Fraud BY Paytm  Paytm No    Accunt No    Bank  BOB  
IFSC  BARBJAGJAI 
Date  Time    PM 
Total Fraud Amount   Rs 
Frauder Details  paytm 
Transactions 
   Rs  Refrence Id    Date  Time    PM 
  Rs  Refrence Id    Date  Time    PM

 Suchna Karta Ne Bataya Ki mere Pass LINK bheje aur usse fraud ho gaya"
Any Other Cyber Crime,Other,Received sms from private fraud number    asking to click link to do kyc Did not click link but reporting for further action by the police Checked on Truecaller also this person is reported there also as sbi yono fraud
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"FRAUD THROUGH  DEBIT CARD 
BANK  AXIS BANK 

ACCOUNT NUMBER  
				 
TOTAL AMOUNT  


PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,"There is an Instagram accounts named iamneha and priyanaik i think is fake i think this is a random guy running both the accounts and calling himself a Girl and is blackmailing me that he will report a Police complain against me
I want you to understand this issue as soon as possibleand take some strict actions immediately
i have attached Screenshots of these two Accounts
please kindly resolve my problem"
Online and Social Media Related Crime,Cheating by Impersonation,sir  pr phone pay ya google karne k liye kah rha hai aur mere naam se id bna liya h aur meri profile photo bhi lga rakhi hai aur jitne bhi mere friends hai unko apne friend request dalkr unse paise mang rha h kripya meri help kare
RapeGang Rape RGRSexually Abusive Content,RapeGang Rape RGRSexually Abusive Content,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife  a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,Fraud CallVishing,I received a call from a number called Bus Rupee it is an Loan company and now there are asking me to give  and  money and also they have access my contacts list and calling my friends and family and abusing them and me and also telling me that i have your personal photos and if you dont pay the money we will share the photos in social media and same thing is is telling to my friends and family
Online and Social Media Related Crime,Provocative Speech for unlawful acts,"Hi Sir Mam

          I have taken a loan from an Online App and loan payment date is January th  but the a person from that company asking me for payment today I told him tha i will way before my due date which is  and he started abusing me on my whats aap

I am sharing the screenshots of the conversation and the mobile number of the person ph  

This person bis seriously harassing me and giving me threat that he is going to share my family photos on social media I sharing the screenshot please do the needful As as possible its really disturbing

Thanks
Hardeep Singh "
Online and Social Media Related Crime,FakeImpersonating Profile,"My face book ID is Karthikeyan Ramamurthy
Someone has created FB account with my ID with my Profile photo and Cover photo and has sent friend request to my friends
If accepted they have started sending message in FB Messenger asking for money
Link of the complaint ID is httpswwwfacebookcomprofilephpid"
Online Financial Fraud,UPI Related Frauds,An amount of rs  got looted from my account an afternoon at  pm today on  which got came as fake webpage saying has won an amount rs which had happened negligence of adding upi id which reason had lost an amount from my account thru phonepe app pls help to get back the amount thank you
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"shri ram nagar disjodhpur psmaha mandir pincode  suchnakrta om prakash ne btaya ki  ko debit card se am par total  rupee  bar me cut ho gye h

suchnakrta ke hdfc bank ac no 
debit card no 
transaction no
   rupee    am

email id
omcharangmailcom"
Online Financial Fraud,Fraud CallVishing,They messaged me on wats up that pradhan mantri mudra loan is approved and created fake approval letter and sent on wats they asked as processing fee and they they collect and grab up to  by saying GSTemi and noc
Online Financial Fraud,UPI Related Frauds,"citizen details
namejyoti saini
disalwar
pstejara
pin code 
phone pay  mob no 
fraud by phone pay
total fraud amount 

pnb  bank ac no  ifsc code BRANCH reware 
transction details
trn not utr  amount timepm   date  feb  

frauder detailssuchna krta ne btaya ki no  se call aaya or whatsaap pr linke send krke fraud kiya gya h 
frauder no    "
Online and Social Media Related Crime,FakeImpersonating Profile,"httpswwwfacebookcomprofilephpid

httpswwwfacebookcomprabhuse
 These are the two fake FB ID on my name One of my school friend MrAKPandiyan has lost nearly Rs through fake FB messenger chat Please recover the lost amount and take action on online fraud people in this case"
Online Financial Fraud,Fraud CallVishing,im receiving fraud call from other numbers to my relatives regarding the loan scam and they are threatning me to repay the loan plse help me threating from these mobile numbers  and 
Online and Social Media Related Crime,Profile Hacking Identity Theft,Sir I use many last  years but now I stopped recharge this number I can not log in with my account someone misuse my account I saw him  tenth feb online it also show bussenuss account I think some misuse by this account
Online Financial Fraud,Internet Banking Related Fraud,FRUAD TRANSACTION 
Online Financial Fraud,Internet Banking Related Fraud,                               OTP               OTP                   
Online and Social Media Related Crime,FakeImpersonating Profile,Today i got fake messages from a unknown no In my WhatsApp account  Heshe was promising me that i have been won a lottery of  lakh rupees  And was requesting me to call on another no Then someone talk from sbi bank and further continue the process and you will get your lottery price
Online and Social Media Related Crime,Profile Hacking Identity Theft,Main apni facebook chala raha tha tabhi mujhe uspe battlegroundsmobileindia ka add dikha usme ikha tha k aap yha login karke gun ki scen pa sakte hai main us page le ja k log in kiya or evening kareeb  bje mera facebook chalna band ho gaya plz help
